1 - 			[blank], (Original Filename: )
2 - 'lp1'		[neutral stare], (Original Filename: "lp_1")
3 - 'lp2'		[mouth open, head up a bit, looking down], (Original Filename: "lp_2")
4 - 'lp3'		[thinking], (Original Filename: "lp_3")
5 - 'lp4'		[smiling], (Original Filename: "lp_4")
6 - 'lp5'		[angry], (Original Filename: "lp_5")
7 - 'lp6'		[drugged out], (Original Filename: "lp_6")
8 - 'lp6'		[drugged out], (Original Filename: "lp_6")
9 - 'lpa'		[pip with alicorn mode helmet], (Original Filename: "face61")
10 - 've'		[Grey EP, goggles, smoking], (Original Filename: "boom")
11 - 'vw'		[Green EP, Yellow hair, Cowboy hat], (Original Filename: "weapon")
12 - 'va'		[Red EP, Black hair, Black sunglasses], (Original Filename: "armor")
13 - 'vd'		[White UN, Red hair, Yellow hat], (Original Filename: "medic")
14 - 'vm'		[winry orange UN], (Original Filename: "repairs")
15 - 'vs'		[purple UP, Blue eyes, Black/Purple robe], (Original Filename: "mag")
16 - 'vb'		[orange UN, red eyes, Grey hair, curly mustache], (Original Filename: "bar")
17 - 'vc'		[Purple EP, Yellow eyes, swirly purple hair], (Original Filename: "food")
18 - 'zetr'		[Zebra mare, red eyes, 3 earrings, cloak], (Original Filename: "zebra17")
19 - 'vr'		[brown enclave UN mare, orange hair], (Original Filename: "pisar18")
20 - 'vf'		[black EP stallion, black/grey hair, green eyes, black coat], (Original Filename: "dip")
21 - 'vel'		[velvet remedy], (Original Filename: "velvet")
22 - 'calam'	[Calamity], (Original Filename: "k")
23 - 'sh' 		[steel hooves], (Original Filename: "ranger")
24 - 'main' 	[computer mainframe], (Original Filename: "mainframe1)
25 - 'pip' 		[Pipbuck], (Original Filename: "pip")
26 - 'mtn' 		[Checkpoint console / Watcher], (Original Filename: N/A)
27 - 'term' 	[Computer terminal], (Original Filename: "term0)
28 - 'raider' 	[Raider EP mare, black fur, red hair, bloody muzzle], (Original Filename: "sadist27)
29 - 'capt' 	[Yellow EP mare, sad, green hair], (Original Filename: "fup0028")
30 - 'capt2' 	[Reddish-Orange UN Stallion, Green hair, Sad look], (Original Filename: "fup0029")
31 - 'hh' 		[Red Stallion, Blue hair, Black eye (injury)], (Original Filename: "fup0030")
32 - 'raider2' 	[Brown EP Stallion, googles, Tan hair, armor], (Original Filename: "pro31")
33 - 'slaver1'	[Blue EP Stallion, Green Hair, Metal muzzle cover, spikes], (Original Filename: "rab32")
34 - 'slaver2'	[Black EP Stallion, Yellowed eyes, Red hair, metal muzzle cover w/ blood], (Original Filename: "boss1")
35 - 'slaver3'	[Red UN Stallion, Purple hair, Sunglasses, Gold earring], (Original Filename: "boss34")
36 - 'phoenix'	[Balefire phoenix], (Original Filename: N/A)
37 - 'spectre'	[floating alicorn ghost in a robe], (Original Filename: N/A)
38 - 'ran1'		[Power Armor, Red eyes], (Original Filename: "ranger37")
39 - 'ran2'		[Power Armor, Blue eyes], (Original Filename: "ranger38")
40 - 'al1'		[Blue Alicorn with black highlights], (Original Filename: "alicorn39")
41 - 'al2'		[Purple Alicorn with blue highlights], (Original Filename: "alicorn40")
42 - 'al3'		[Green alicorn], (Original Filename: "alicorn41")
43 - 'bm'		[Black UN Mare, Red Eyes, Red hair, Fangs], (Original Filename: "boss2")
44 - 'ze1'		[Zebra mare, Yellow eyes, Scar on eye, Saddlebag], (Original Filename: "Askari")
45 - 'ze2'		[Zebra Stallion, Younger looking, orange eyes], (Original Filename: "fup0044")
46 - 'mch'		[Magic zebra mare with gold necklace], (Original Filename: "boss3")
47 - 'cs'		[Power Armor with gold trim and red eyes], (Original Filename: "ranger46")
48 - 'zira'		[Zebra mare with green eyes and pulled back dreads], (Original Filename: "fup0047")
49 - 'wat'		[Spritebot], (Original Filename: "bot")
50 - 'zeb1'		[Zebra mare, red eyes, swept back hair, green clothes], (Original Filename: "fup0047")
51 - 'zeb2'		[Zebra mare, green eyes, Gold earring, lots of gold necklaces], (Original Filename: "fup0050")
52 - 'zeb3'		[Zebra mare, red eyes, silver earring, nose scars, reddish-brown clothes], (Original Filename: "fup0051")
53 - 'zeb4'		[Zebra Stallion, grey, purple eyes, purple robe], (Original Filename: "fup0052")
54 - 'encl1'	[Enclave Power Armor, White hair, orange eyes], (Original Filename: "fup0053")
55 - 'encl2'	[Enclave Power Armor, Red hair, Red eyes], (Original Filename: "fup0054")
56 - 'com'		[White pegasus stallion, Hat], (Original Filename: "fup0055")
57 - 'men'		[Purple EP stallion, White hair, Glasses], (Original Filename: "fup0056")
58 - 'sc1'		[Yellowish UN Stallion, Brown hair, brown eyes], (Original Filename: "fup0057")
59 - 'sc2'		[Green mare, yellow hair, orange goggles], (Original Filename: "fup0058")
60 - 'sc3'		[Blue UN Mare, Red EYes, Blue/red hair], (Original Filename: "fup0059")
61 - 'sc4'		[Brown Unicorn stallion, White hair], (Original Filename: "fup0060")
62 - 'men2'		[Purple EP stallion, White hair, Broken glasses, bleeding], (Original Filename: "fup0056die")
